,name,team,rating
1,Babar Azam,PAK,887
2,Rassie van der Dussen,SA,787
3,David Warner,AUS,747
4,Quinton de Kock,SA,743
5,Imam-ul-Haq,PAK,740
6,Shubman Gill,IND,734
7,Virat Kohli,IND,727
8,Steve Smith,AUS,719
9,Rohit Sharma,IND,719
10,Kane Williamson,NZ,700
11,Fakhar Zaman,PAK,699
12,Jonny Bairstow,ENG,689
13,Harry Tector,IRE,680
14,Shai Hope,WI,679
15,Tamim Iqbal,BAN,655
16,Paul Stirling,IRE,654
17,Jason Roy,ENG,653
18,Joe Root,ENG,651
19,David Miller,SA,647
20,Shreyas Iyer,IND,643
21,Jos Buttler,ENG,643
22,Alex Carey,AUS,635
23,Mushfiqur Rahim,BAN,635
24,Glenn Maxwell,AUS,632
25,Rahmat Shah,AFG,628
26,Nicholas Pooran,WI,622
27,Tom Latham,NZ,614
28,Travis Head,AUS,610
29,Litton Das,BAN,609
30,Sikandar Raza,ZIM,603
31,Shikhar Dhawan,IND,598
32,Martin Guptill,NZ,597
33,Shakib Al Hasan,BAN,597
34,Mahmudullah,BAN,591
35,Gerhard Erasmus,NAM,587
36,Devon Conway,NZ,566
37,Kariyawasa Asalanka,SL,561
38,Andrew Balbirnie,IRE,560
39,Najibullah Zadran,AFG,555
40,Kyle Coetzer,SCO,555
41,Lokesh Rahul,IND,554
42,Heinrich Klaasen,SA,550
43,Assad Vala,PNG,548
44,Ishan Kishan,IND,547
45,Monank Patel,USA,547
46,George Munsey,SCO,544
47,Ibrahim Zadran,AFG,543
48,Haris Sohail,PAK,542
49,Kusal Mendis,SL,534
50,Temba Bavuma,SA,532
51,Aqib Ilyas,OMA,524
52,Hashmatullah Shaidi,AFG,523
53,Aiden Markram,SA,522
54,Aaron Jones,USA,521
55,Rahmanullah Gurbaz,AFG,511
56,Janneman Malan,SA,510
57,Shimron Hetmyer,WI,507
58,Dawid Malan,ENG,505
59,Sean Williams,ZIM,505
60,Scott Edwards,NED,504
61,Avishka Fernando,SL,500
62,Zeeshan Maqsood,OMA,499
63,Jatinder Singh,OMA,496
64,Mohammad Rizwan,PAK,495
65,Mohammad Nabi,AFG,492
66,Richard Berrington,SCO,490
67,Dasun Shanaka,SL,489
68,Marnus Labuschagne,AUS,489
69,Mitchell Santner,NZ,488
70,Henry Nicholls,NZ,487
71,Kusal Perera,SL,486
72,Vriitya Aravind,UAE,482
73,Danushka Gunathilaka,SL,480
74,Angelo Mathews,SL,478
75,Hardik Pandya,IND,475
76,Imad Wasim,PAK,474
77,Tom Cooper,NED,471
78,Steven Taylor,USA,468
79,Marcus Stoinis,AUS,468
80,Dhananjaya de Silva,SL,467
81,Evin Lewis,WI,466
82,R.K. Paudel,NEP,465
83,Soumya Sarkar,BAN,462
84,Michael Bracewell,NZ,455
85,Mitchell Marsh,AUS,455
86,Sarfaraz Ahmed,PAK,454
87,Shamarh Brooks,WI,452
88,Pathum Nissanka,SL,451
89,Mehedi Hasan,BAN,451
90,Craig Ervine,ZIM,445
91,Finn Allen,NZ,444
92,Michael Leask,SCO,444
93,Max O'Dowd,NED,443
94,Niroshan Dickwella,SL,438
95,Gajanand Singh,USA,433
96,Afif Hossain,BAN,432
97,Jimmy Neesham,NZ,430
98,Cameron Green,AUS,429
99,Moeen Ali,ENG,429
100,Philip Salt,ENG,428
